gene	geneCat	labelGene	lof_z	wlof
SMAD6	Sperm LOF selection gene (n=31)	SMAD6	-3.0725	161.29697178685893
MIB1	Sperm LOF selection gene (n=31)	MIB1	-5.8113	84.03028969182265
COX7A2	Other gene (n = 17,031)		0.67152	72.7057685242519
HAND1	Other gene (n = 17,031)		1.2691	62.48373388844695
CUL3	Sperm LOF selection gene (n=31)	CUL3	5.2842	56.38664715735097
RPS28	Other gene (n = 17,031)		1.7945	51.6920411186207
KDM5B	Sperm LOF selection gene (n=31)	KDM5B	4.9614	50.89014288552711
LBH	Other gene (n = 17,031)		0.61912	50.39724975240378
HIST1H3C	Other gene (n = 17,031)		1.2474	49.83483490757445
HOXC12	Other gene (n = 17,031)		-1.3148	48.2605884327038
SFTA3	Other gene (n = 17,031)		1.6337	47.81802241138598
CSNK2B	Sperm LOF selection gene (n=31)	CSNK2B	2.9994	45.330573929935625
ASIP	Other gene (n = 17,031)		0.70792	44.4463370892305
HBB	Other gene (n = 17,031)		-2.9707	43.87283902323255
HOXC9	Other gene (n = 17,031)		1.2972	42.31815108985751
BAD	Other gene (n = 17,031)		0.68574	41.509311220377434
PRRT1	Other gene (n = 17,031)		1.9967	41.01608292201769
HIST1H3F	Other gene (n = 17,031)		0.019182	40.95411197650398
SMIM17	Other gene (n = 17,031)		0.63633	40.74991244176707
TP53AIP1	Other gene (n = 17,031)		-1.2602	40.58839599851539
SSX1	Sperm LOF selection gene (n=31)	SSX1	-13.413	39.002385817456485
UBE2H	Other gene (n = 17,031)		3.1321	38.267606941457345
LDLRAD2	Other gene (n = 17,031)		1.0201	36.54962763289842
C17orf50	Other gene (n = 17,031)		-0.7373	36.13628955485549
NKX2-2	Other gene (n = 17,031)		2.25	34.45924645425756
RASA2	Sperm LOF selection gene (n=31)	RASA2	0.39391	33.99355207176775
MRAS	Other gene (n = 17,031)		2.6433	33.43960473745405
C9orf91	Other gene (n = 17,031)		0.84649	32.3487142610237
LRRC69	Other gene (n = 17,031)		0.83043	32.26809000978761
IMPA1	Other gene (n = 17,031)		1.9327	32.08949478161946
DBI	Other gene (n = 17,031)		0.71478	31.35472091106412
EIF1	Other gene (n = 17,031)		2.242	29.580582119894167
TMEM107	Other gene (n = 17,031)		-0.9062	29.362559435823986
OR4P4	Other gene (n = 17,031)		0.76078	29.107188832629323
NDUFA4L2	Other gene (n = 17,031)		1.095	28.86871364983725
IRX1	Other gene (n = 17,031)		1.3991	28.030058244071597
FIBIN	Other gene (n = 17,031)		1.7072	27.973889459362876
DPM2	Other gene (n = 17,031)		1.4399	27.695810103475196
