Sample	age_at_sampling	burden	burden_tri	Prop_clonal2	burdenClonal	burdenTriClonal
PD28690id_T3_L1_B1	78	3.655573e-8	3.942567e-8	1	3.655573e-8	3.942567e-8
PD28690id_T3_L1_C2	78	3.952707e-8	4.120971e-8	1	3.952707e-8	4.120971e-8
PD28690id_T3_L1_D2	78	3.962032e-8	4.22571e-8	1	3.962032e-8	4.22571e-8
PD28690id_T3_L1_F2	78	3.479077e-8	3.715201e-8	1	3.479077e-8	3.715201e-8
PD28690id_T3_L2_C3	78	3.465835e-8	3.654407e-8	1	3.465835e-8	3.654407e-8
PD28690id_T3_L2_F3	78	3.24527e-8	3.404724e-8	1	3.24527e-8	3.404724e-8
PD28690id_T3_L4_E6	78	3.629399e-8	3.703672e-8	1	3.629399e-8	3.703672e-8
PD28690id_T3_L4_H5	78	3.699639e-8	4.016575e-8	1	3.699639e-8	4.016575e-8
PD40744c_lo0018	30	1.241705e-8	1.256571e-8	1	1.241705e-8	1.256571e-8
PD40744c_lo0025	30	1.224507e-8	1.223027e-8	0.404430688	4.95228208470816e-9	4.9462965105257594e-9
PD40744c_lo0026	30	1.49023e-8	1.513362e-8	1	1.49023e-8	1.513362e-8
PD40744c_lo0030	30	1.699399e-8	1.810149e-8	0.481567181	8.18374785824219e-9	8.71708351119969e-9
PD40744c_lo0031	30	1.265009e-8	1.303296e-8	0.489270899	6.18932090673091e-9	6.37664805583104e-9
PD40744c_lo0032	30	1.912643e-8	2.082383e-8	0.414763474	7.93294455201782e-9	8.63696407278542e-9
PD40744c_lo0033	30	1.655485e-8	1.750732e-8	0.488931432	8.0941865170452e-9	8.559879038082239e-9
PD40744c_lo0035	30	1.878506e-8	1.97129e-8	1	1.878506e-8	1.97129e-8
PD40744c_lo0036	30	1.473285e-8	1.556226e-8	1	1.473285e-8	1.556226e-8
PD40744c_lo0038	30	1.504001e-8	1.552331e-8	0.458972719	6.90295428348719e-9	7.1247757985798895e-9
PD40744c_lo0044	30	1.439925e-8	1.542349e-8	0.59013053	8.497437034102501e-9	9.1018723281497e-9
PD40745c_lo0007	46	2.593877e-8	2.735357e-8	0.668332938	1.7335734362206262e-8	1.828129180288866e-8
PD40745c_lo0018	46	3.026275e-8	3.234751e-8	1	3.026275e-8	3.234751e-8
PD40745c_lo0019	46	3.51513e-8	3.598235e-8	0.652117239	2.2922768703260697e-8	2.346471073473165e-8
PD40745c_lo0026	46	2.091423e-8	2.262939e-8	1	2.091423e-8	2.262939e-8
PD40745c_lo0032	46	2.111524e-8	2.154021e-8	1	2.111524e-8	2.154021e-8
PD40745c_lo0042	46	2.042361e-8	2.176082e-8	1	2.042361e-8	2.176082e-8
PD40745c_lo0046	46	2.083934e-8	2.335429e-8	0.700770858	1.4603602171953722e-8	1.636600584128082e-8
PD40745c_lo0051	46	2.224227e-8	2.364159e-8	1	2.224227e-8	2.364159e-8
PD40745c_lo0054	46	2.535361e-8	2.705244e-8	1	2.535361e-8	2.705244e-8
PD40745c_lo0055	46	1.548677e-8	1.738399e-8	1	1.548677e-8	1.738399e-8
PD40745c_lo0056	46	2.20303e-8	2.437894e-8	1	2.20303e-8	2.437894e-8
PD40745c_lo0057	46	2.680697e-8	2.930039e-8	1	2.680697e-8	2.930039e-8
PD40745c_lo0059	46	2.520149e-8	2.757893e-8	0.586414333	1.477851494895617e-8	1.617267984080369e-8
PD42034b_lo0004	33.6	1.669782e-8	1.80568e-8	0.714355639	1.192818187600698e-8	1.2898976902295199e-8
PD42034b_lo0005	33.6	1.419226e-8	1.457244e-8	0.659424724	9.35872713343624e-9	9.609427225006559e-9
PD42034b_lo0006	33.6	9.999931e-9	1.050999e-8	1	9.999931e-9	1.050999e-8
PD42034b_lo0007	33.6	1.511582e-8	1.598362e-8	0.513805774	7.766595594744681e-9	8.212476245421881e-9
PD42034b_lo0011	33.6	1.76095e-8	1.805315e-8	0.640330709	1.12759036201355e-8	1.155998633918335e-8
PD42034b_lo0024	33.6	1.681986e-8	1.780498e-8	0.612627611	1.0304310649154459e-8	1.0907822361302779e-8
PD42034b_lo0027	33.6	1.292353e-8	1.396394e-8	0.612205037	7.911850161820609e-9	8.548794404365778e-9
PD42034b_lo0035	33.6	1.401441e-8	1.494874e-8	1	1.401441e-8	1.494874e-8
PD42034b_lo0038	33.6	1.809826e-8	1.905002e-8	1	1.809826e-8	1.905002e-8
PD42034b_lo0041	33.6	1.442401e-8	1.532041e-8	0.483832748	6.9788083954794796e-9	7.412516070786679e-9
PD42034b_lo0043	33.6	1.279868e-8	1.427599e-8	1	1.279868e-8	1.427599e-8
PD42034b_lo0044	33.6	1.387237e-8	1.509e-8	0.637614639	8.84522618962443e-9	9.621604902510002e-9
PD42036b_lo0003	28.3	1.521533e-8	1.568709e-8	1	1.521533e-8	1.568709e-8
PD42564c_lo0003	46	2.477472e-8	2.614186e-8	1	2.477472e-8	2.614186e-8
PD42564c_lo0028	46	2.237162e-8	2.459797e-8	0.760577894	1.701535962496828e-8	1.8708672219275178e-8
PD42565c_lo0013	47	2.243175e-8	2.33721e-8	0.508630712	1.1409476973905998e-8	1.18877678639352e-8
PD42565c_lo0018	47	2.493887e-8	2.703651e-8	0.812365759	2.025948405615233e-8	2.1963534966861088e-8
PD42566c_lo0002	48	1.718343e-8	1.706854e-8	1	1.718343e-8	1.706854e-8
PD42566c_lo0020	48	2.710942e-8	2.963713e-8	1	2.710942e-8	2.963713e-8
PD42568c_lo0001	71	2.432457e-8	2.55772e-8	1	2.432457e-8	2.55772e-8
PD42568c_lo0031	71	3.68141e-8	3.949418e-8	0.504721153	1.85808549986573e-8	1.993354806638954e-8
PD42569c_lo0006	44	1.945123e-8	2.181439e-8	1	1.945123e-8	2.181439e-8
PD42569c_lo0031	44	2.252623e-8	2.432324e-8	0.639290248	1.440079916320504e-8	1.554961013176352e-8
PD42569c_lo0041	44	2.309413e-8	2.437424e-8	0.810142199	1.8709529262191868e-8	1.974660039255376e-8
PD43726c_lo0026	82.8	4.843252e-8	5.198952e-8	0.578582959	2.802223073342668e-8	3.008025031858968e-8
PD43726c_lo0030	82.8	5.370236e-8	5.699973e-8	0.375060304	2.014162346711744e-8	2.137833606171792e-8
PD43726c_lo0033	82.8	4.724092e-8	4.946982e-8	0.833501561	3.937538056307612e-8	4.123317219238902e-8
PD43726c_lo0034	82.8	4.783927e-8	5.212089e-8	1	4.783927e-8	5.212089e-8
