gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
KDM5B	2	28	16	4	20	11.190328074321911	65.78075172601719	65.78075172601719	35.99953404503704	0	0	0	6.250697989100838e-10	0	0	0	3.92085449196332e-6	0	0
PTPN11	0	75	0	0	0	45.31690816464256	0	0	0	0	0.570706856827057	0	1	0	0.9424126707052872	0	1	0	0
NF1	9	82	20	10	27	4.130227274938366	17.480416895304792	17.480416895304792	30.878613293859672	1.1102230246251563e-15	0	0	5.726527306902926e-10	6.962578661765898e-12	0	0	3.92085449196332e-6	0	0
SMAD6	0	11	7	1	10	12.968842883902791	255.6636960825064	255.6636960825064	66.93024749121145	6.247171890905179e-9	0	0	9.581513786498975e-10	1.6790613136498577e-5	0	0	4.5076231608584425e-6	0	0
CUL3	1	18	16	3	23	3.2312386249316782	38.37501330173592	38.37501330173592	74.39828101296602	1.5328908172340672e-4	0	0	1.6005637829757648e-15	0.1373324182640083	0	0	3.011940926803794e-11	0	0
MIB1	1	8	20	2	12	5.652068893297564	130.09813060444012	130.09813060444012	37.96244877920519	2.287958792206446e-4	0	0	2.5021535564887793e-8	0.1956620759844185	0	0	9.417105125201168e-5	0	0
RASA2	0	10	11	7	10	2.5712108557379403	31.79499526930574	31.79499526930574	36.19210887422977	0.01549856614610833	0	0	1.648042803917772e-7	0.8136677215017273	0	0	4.4304099263035184e-4	0	0
PRRC2A	4	18	11	3	16	2.359682322657926	19.631636512963997	19.631636512963997	26.626231182654852	0.00414254234851585	3.000932835561798e-13	3.04645197957143e-13	1.002136613563648e-7	0.8136677215017273	8.065650052608525e-10	7.164493442957108e-10	3.143034465673455e-4	0	0
PTEN	0	16	4	1	4	7.463858169461023	20.177474789435607	20.177474789435607	29.722254457692262	1.1806985500406595e-8	7.720098578190004e-6	1.370670243971972e-11	1.8011720896780217e-4	2.468184724496108e-5	0.01210382788750556	2.86530999667652e-8	0.24210325988257864	8.548717289613705e-14	1.787061856519914e-10
RIT1	1	20	0	0	1	8.743492070610072	0	0	14.07421859167536	2.036315560616231e-11	0.46353255698251583	1.1976797331669786e-10	0.06646733224424117	9.577810239358443e-8	0.9424126707052872	2.2533146499803537e-7	1	2.1140733608149276e-10	3.977417621037205e-7
ROBO1	3	11	5	2	6	3.3408220049306783	20.363024364758797	20.363024364758797	11.2081975389675	0.00164015694226427	1.2681266114977774e-7	1.5208054593429665e-8	0.00160600898078861	0.7912285310707687	2.3858534068719184e-4	2.200956454775275e-5	1	6.212421688189805e-10	1.0625500149236635e-6
